,,A Season,,,,,,,B Season,,,,,,,2005
Vessel Name,Coop,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credit Factor,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credit Factor,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credits
MISS BERDIE,Northern Victor,200.898,6,0,0.0348436,0.973751,18,0.164685,1.0366,0,0,0,nan,1.03476,0,,,200.898,6,0,0.029866,18
VANGUARD,Unalaska,315.14,6,0,0.0190391,1.0895,32,0.703862,1.15641,290.97,3,0,0.0171839,1.05144,11,0.670968,1.1491,606.11,9,0,0.0148488,43
PACIFIC CHALLENGER,Peter Pan,533.528,13,0,0.0243661,1,50,0.52213,1.11603,1907.21,795,1111.8,0.23007,0.790949,56,-3.9103,0.333333,2440.73,808,1111.8,0.331048,106
PACIFIC RAM,Akutan pollock,166.092,0,0,0.00602077,0.777778,12,1.14799,1.25511,307.148,0,0,0,1.05436,12,1.04076,1.23128,473.24,0,0,0,24
ALYESKA,Westward,858.067,3,0,0.00582705,1.01948,82,1.1546,1.25658,0,0,0,nan,0.99177,0,,,858.067,3,0,0.00349623,82
MARK I,Akutan pollock,150.314,3,0,0.0199582,1,14,0.672507,1.14945,0,0,0,nan,1.01521,0,,,150.314,3,0,0.0199582,14
SUNSET BAY,Northern Victor,379.35,2,0,0.00790827,1.02769,36,1.0836,1.2408,2125.05,65,0,0.0329404,0.777778,62,0.331892,1.07375,2504.4,67,0,0.0267529,98
CAITLIN ANN,Westward,620.419,13,0,0.0241772,1.01842,59,0.528574,1.11746,4878.77,95,0,0.0215218,1.06751,195,0.577617,1.12836,5499.19,108,0,0.0196393,254
MAJESTY,Akutan pollock,0,0,0,nan,1.04502,0,,,4094.62,64,0,0.0188052,1.0728,165,0.636079,1.14135,4094.62,64,0,0.0156303,165
GOLDEN PISCES,Akutan pollock,0,0,0,nan,1,0,,,1896.2,16,0,0.0126569,1.07749,76,0.768389,1.17075,1896.2,16,0,0.00843791,76
WESTERN DAWN,Unalaska,0,0,0,nan,0.976484,0,,,1644.43,37,0,0.0249326,1.06774,65,0.504218,1.11205,1644.43,37,0,0.0225001,65
SEEKER,Akutan pollock,0,0,0,nan,1,0,,,945.09,84,220.812,0.0648922,1.03161,36,-0.355706,0.920954,945.09,84,220.812,0.0888804,36

TOTAL,,251886,9321,0,0.0370048,,23807,,,384264,24619,11392.2,0.064068,,14187,,,636150,33940,11392.2,0.0533522,37994
