,,A Season,,,,,,,B Season,,,,,,,2006
Vessel Name,Coop,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credits
MAR-GUN,Mothership,128.082,0,0,0,12,1.10904,1,143.492,0,0,0,5,1.03509,1,271.573,0,0,0,17
NORDIC FURY,Northern Victor,308.354,7,0,0.0227012,29,0.943735,1,0,0,0,nan,0,,,308.354,7,0,0.0227012,29
SEEKER,Akutan pollock,987.177,11,0,0.0111429,92,1.0279,1,1453.31,199,129.535,0.136731,54,-2.20522,1,2440.48,210,129.535,0.0860486,146
WESTERN DAWN,Unalaska,277.36,26,0,0.093741,26,0.426447,1,1554.69,19,0,0.0122211,58,0.745465,1,1832.05,45,0,0.0245627,84
MISS BERDIE,Northern Victor,101.242,0,0,0,9,1.10904,1,0,0,0,nan,0,,,101.242,0,0,0,9
BLUE FOX,Akutan pollock,307.935,0,0,0,29,1.10904,1,0,0,0,nan,0,,,307.935,0,0,0,29
PREDATOR,Akutan pollock,637.89,5,0,0.00783834,60,1.05196,1,0,0,0,nan,0,,,637.89,5,0,0.00783834,60
CAITLIN ANN,Westward,316.76,2,0,0.00631392,29,1.06306,1,4270.06,219,0,0.0512873,161,-0.180343,1,4586.82,221,0,0.0481815,190
GOLDEN PISCES,Akutan pollock,0,0,0,nan,0,,,1186.11,136,424.102,0.0577424,44,-0.333319,1,1186.11,136,424.102,0.114661,44
HALF MOON BAY,Northern Victor,0,0,0,nan,0,,,3165.61,76,0,0.024008,119,0.466133,1,3165.61,76,0,0.024008,119
SUNSET BAY,Northern Victor,0,0,0,nan,0,,,1864.95,58,0,0.0311,70,0.298065,1,1864.95,58,0,0.0311,70
HICKORY WIND,Westward,0,0,0,nan,0,,,921.707,22,0,0.0238687,34,0.469434,1,921.707,22,0,0.0238687,34
MAJESTY,Akutan pollock,0,0,0,nan,0,,,3630.2,211,117.432,0.042132,137,0.036624,1,3630.2,211,117.432,0.0581235,137
PACIFIC CHALLENGER,Peter Pan,0,0,0,nan,0,,,995.02,133,497.62,0.156816,37,-2.6812,1,995.02,133,497.62,0.133666,37
MARK I,Akutan pollock,0,0,0,nan,0,,,508.764,237,319.976,0.270144,19,-5.3669,1,508.764,237,319.976,0.465834,19

TOTAL,,253117,34603,79535.6,0.136707,23813,,,375832,21179,32041.2,0.0563524,14183,,,628949,55782,111577,0.0886908,37996
