,,A Season,,,,,,,B Season,,,,,,,2007
Vessel Name,Coop,Pollock,Bycatch,Credit_Limited_Bycatch,Uncaught Pollock,Bycatch Rate,Credits,z-score,q-value,Pollock,Bycatch,Credit_Limited_Bycatch,Uncaught Pollock,Bycatch Rate,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credits
CAITLIN ANN,Westward,2743.17,78,404,0,0.0284342,303,nan,1.66667,3425.4,148,212,0,0.0432066,159,0.379129,1.08425,6168.58,226,0,0.0366373,462
MAR-GUN,Mothership,148.841,4,21.3333,148.841,nan,16,nan,1.66667,253.128,0,16,0,0,12,1.12552,1.25012,401.969,4,148.841,0.00995101,28
MISS BERDIE,Northern Victor,426.638,3,61.3333,0,0.00703172,46,nan,1.66667,0,0,0,0,nan,0,,,426.638,3,0,0.00703172,46
WESTERN DAWN,Unalaska,241.459,4,32,0,0.0165659,24,nan,1.66667,505.409,2,32,0,0.00395719,24,1.05716,1.23492,746.868,6,0,0.00803354,48
PREDATOR,Akutan pollock,600.312,8,85.3333,0,0.0133264,64,nan,1.66667,0,0,0,0,nan,0,,,600.312,8,0,0.0133264,64
SEEKER,Akutan pollock,874.423,11,128,0,0.0125797,96,nan,1.66667,1380.15,230,72,275.06,0.142975,54,-1.34438,0.687888,2254.57,241,275.06,0.106894,150
PACIFIC CHALLENGER,Peter Pan,541.468,18,77.3333,0,0.033243,58,nan,1.66667,1251.03,14,52,0,0.0111908,39,0.932201,1.20716,1792.49,32,0,0.0178522,97
BLUE FOX,Akutan pollock,517.626,5,73.3333,0,0.00965949,55,nan,1.66667,0,0,0,0,nan,0,,,517.626,5,0,0.00965949,55
PERSEVERANCE,Akutan pollock,101.115,2,14.6667,0,0.0197795,11,nan,1.66667,0,0,0,0,nan,0,,,101.115,2,0,0.0197795,11
GOLDEN PISCES,Akutan pollock,0,0,0,0,nan,0,,,1330.46,10,81.3333,0,0.00751618,61,0.99568,1.22126,1330.46,10,0,0.00751618,61
MAJESTY,Akutan pollock,0,0,0,0,nan,0,,,3941.68,250,246.667,0,0.0634247,185,0.0298618,1.00664,3941.68,250,0,0.0634247,185
STARWARD,Unisea,0,0,0,0,nan,0,,,1969.19,78,124,0,0.0396101,93,0.441257,1.09806,1969.19,78,0,0.0396101,93
MARK I,Akutan pollock,0,0,0,0,nan,0,,,173.005,9,8,0,0.0520217,6,0.226847,1.05041,173.005,9,0,0.0520217,6

TOTAL,,239735,36339,99912.9,0.15158,23803,,,311445,33813,23986,0.108568,14184,,,551180,70152,0.127276,37987
