,,A Season,,,,,,,B Season,,,,,,,2007
Vessel Name,Coop,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credits
PACIFIC EXPLORER,Akutan pollock,3014.23,386,1193.28,0.19715,299,0.323008,1,5080.55,687,1240.13,0.0708257,231,-0.522571,1,8094.78,1073,2433.42,0.132555,530
ALYESKA,Westward,1963.52,365,1741.69,1.09996,195,-2.69557,1,0,0,0,nan,0,,,1963.52,365,1741.69,0.185891,195
EXCALIBUR II,Northern Victor,1224.34,78,0,0.0637076,121,0.769175,1,1274.95,6,0,0.00470608,58,1.33452,1,2499.29,84,0,0.0336095,179
LISA MELINDA,Akutan pollock,801.417,80,0,0.0998232,79,0.648421,1,0,0,0,nan,0,,,801.417,80,0,0.0998232,79
HICKORY WIND,Westward,411.19,35,0,0.0851188,40,0.697586,1,1129.91,43,0,0.0380563,51,0.397816,1,1541.1,78,0,0.0506133,91
LESLIE LEE,Akutan pollock,1284.58,173,481.43,0.173068,127,0.403525,1,2447.31,14,0,0.00572057,111,1.30602,1,3731.89,187,481.43,0.0501086,238
PACIFIC RAM,Akutan pollock,417.378,29,0,0.0694813,41,0.74987,1,0,0,0,nan,0,,,417.378,29,0,0.0694813,41
WALTER N,Peter Pan,1033.39,96,0,0.0928983,102,0.671575,1,1609.23,5,0,0.00310707,73,1.37943,1,2642.62,101,0,0.0382197,175
FIERCE ALLEGIANCE,Unisea,4957.27,560,0,0.112965,492,0.60448,1,5493.78,47,0,0.00855514,250,1.22641,1,10451,607,0,0.0580803,742
NORDIC FURY,Northern Victor,319.615,6,0,0.0187726,31,0.919417,1,0,0,0,nan,0,,,319.615,6,0,0.0187726,31
OCEANIC,Peter Pan,1269.63,47,0,0.0370186,126,0.858411,1,1315.89,10,0,0.0075994,60,1.25325,1,2585.53,57,0,0.0220458,186
VANGUARD,Unalaska,142.058,8,0,0.0563149,14,0.793893,1,156.439,16,0,0.102276,7,-1.40591,1,298.498,24,0,0.0804026,21
ELIZABETH F,Peter Pan,589.787,50,0,0.0847764,58,0.698731,1,1065.94,2,0,0.00187628,48,1.414,1,1655.73,52,0,0.0314061,106
ANITA J,Northern Victor,2085.76,119,0,0.0570535,207,0.791423,1,3363.84,117,0,0.0347817,153,0.489789,1,5449.6,236,0,0.0433059,360
GOLD RUSH,Northern Victor,1035.13,60,0,0.0579637,102,0.78838,1,1594.02,7,0,0.0043914,72,1.34335,1,2629.15,67,0,0.0254835,174
SUNSET BAY,Northern Victor,953.269,16,0,0.0167844,94,0.926064,1,1871.29,57,0,0.0304603,85,0.611162,1,2824.56,73,0,0.0258448,179
HALF MOON BAY,Northern Victor,736.775,50,0,0.0678633,73,0.75528,1,1967.02,206,0,0.104727,89,-1.47475,1,2703.8,256,0,0.0946817,162
TRAVELER,Akutan pollock,692.178,40,0,0.0577886,68,0.788965,1,278.218,6,0,0.0215658,12,0.86098,1,970.396,46,0,0.0474033,80
CAITLIN ANN,Westward,2743.17,78,0,0.0284342,272,0.887113,1,3425.4,148,0,0.0432066,156,0.25316,1,6168.58,226,0,0.0366373,428
MAR-GUN,Mothership,148.841,4,0,0.0268743,14,0.892328,1,253.128,0,0,0,11,1.46669,1,401.969,4,0,0.00995101,25
MISS BERDIE,Northern Victor,426.638,3,0,0.00703172,42,0.958673,1,0,0,0,nan,0,,,426.638,3,0,0.00703172,42
WESTERN DAWN,Unalaska,241.459,4,0,0.0165659,24,0.926795,1,505.409,2,0,0.00395719,23,1.35555,1,746.868,6,0,0.00803354,47
PREDATOR,Akutan pollock,600.312,8,0,0.0133264,59,0.937626,1,0,0,0,nan,0,,,600.312,8,0,0.0133264,59
SEEKER,Akutan pollock,874.423,11,0,0.0125797,86,0.940123,1,1380.15,230,275.06,0.142975,63,-2.54902,1,2254.57,241,275.06,0.106894,149
PACIFIC CHALLENGER,Peter Pan,541.468,18,0,0.033243,53,0.871034,1,1251.03,14,0,0.0111908,57,1.15238,1,1792.49,32,0,0.0178522,110
BLUE FOX,Akutan pollock,517.626,5,0,0.00965949,51,0.949887,1,0,0,0,nan,0,,,517.626,5,0,0.00965949,51
PERSEVERANCE,Akutan pollock,101.115,2,0,0.0197795,10,0.91605,1,0,0,0,nan,0,,,101.115,2,0,0.0197795,10
GOLDEN PISCES,Akutan pollock,0,0,0,nan,0,,,1330.46,10,0,0.00751618,60,1.25559,1,1330.46,10,0,0.00751618,60
MAJESTY,Akutan pollock,0,0,0,nan,0,,,3941.68,250,0,0.0634247,179,-0.3147,1,3941.68,250,0,0.0634247,179
STARWARD,Unisea,0,0,0,nan,0,,,1969.19,78,0,0.0396101,89,0.354173,1,1969.19,78,0,0.0396101,89
MARK I,Akutan pollock,0,0,0,nan,0,,,173.005,9,0,0.0520217,7,0.00557116,1,173.005,9,0,0.0520217,7

TOTAL,,239735,36339,120467,0.15158,23801,,,311445,33813,33742.7,0.108568,14184,,,551180,70152,154209,0.127276,37985
