,,A Season,,,,,,,,B Season,,,,,,,,2005
Vessel Name,Coop,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credit Factor,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credit Factor,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credits
DOMINATOR,Akutan pollock,5179.73,105,0,0.0202713,1.06392,362,0.451974,1.15066,8418.48,542,29.0922,0.0643822,1.04599,227,-1.30874,0.563753,13598.2,647,29.0922,0.0470379,589
PERSEVERANCE,Akutan pollock,108.001,0,0,0,1,7,1.54912,1.51637,0,0,,,,,,,108.001,0,0,0,7
NORTHERN PATRIOT,Akutan pollock,6366.9,123,0,0.0193187,1.03022,432,0.505427,1.16848,10191.7,477,0,0.0468026,1.12233,294,-0.714806,0.761731,16558.6,600,0,0.0347251,726
ARCTIC WIND,Westward,3579.08,76,0,0.0212345,1.01769,239,0.397862,1.13262,6420.41,212,0,0.0330197,1.0413,172,-0.245683,0.918106,9999.49,288,0,0.0272014,411
OCEAN LEADER,Peter Pan,915.552,15,0,0.0163836,1.22284,73,0.659827,1.21994,2217.78,23,0,0.0103707,1.19658,68,0.516778,1.17226,3133.33,38,0,0.0102128,141
FIERCE ALLEGIANCE,Unisea,4852.7,132,242.366,0.0272013,0.991255,332,0.0715851,1.02386,7802.34,95,0,0.0121758,1.17254,235,0.459399,1.15313,12655,227,242.366,0.0162048,567
PACIFIC VIKING,Akutan pollock,1794.13,68,0,0.0379013,0.862664,101,-0.512298,0.829234,4027.15,396,60.8927,0.0983325,0.95957,101,-2.44514,0.333333,5821.29,464,60.8927,0.0807524,202
HALF MOON BAY,Northern Victor,766.852,24,0,0.0312968,0.868568,43,-0.151876,0.949375,3262.8,64,0,0.0196151,1.07387,90,0.206393,1.0688,4029.65,88,0,0.0193565,133
ROYAL AMERICAN,Akutan pollock,2555.06,58,0,0.0227,1.07852,181,0.317037,1.10568,6266.42,79,0,0.0126069,1.19447,192,0.443938,1.14798,8821.49,137,0,0.0138299,373
LESLIE LEE,Akutan pollock,1200.82,21,0,0.0174881,0.93893,74,0.600046,1.20002,2076.61,8,0,0.00385242,1.19806,64,0.735696,1.24523,3277.43,29,0,0.00579722,138
MARCY J,Akutan pollock,503.586,9,0,0.0178718,1.07264,35,0.578347,1.19278,625.585,2,0,0.00319701,1.13055,18,0.756294,1.2521,1129.17,11,0,0.00619924,53
LISA MELINDA,Akutan pollock,287.261,24,134.885,0.0835477,0.887808,24,-2.99308,0.333333,0,0,,,,,,,287.261,24,134.885,0.0829097,24
HICKORY WIND,Westward,161.154,19,107.757,0.1179,1.08388,19,-4.8596,0.333333,814.317,24,239.585,0.0294725,0.897572,24,-0.124965,0.958345,975.471,43,347.343,0.0725726,43
GOLD RUSH,Northern Victor,532.765,20,0,0.03754,0.95394,33,-0.491375,0.836208,1546.05,10,0,0.00646812,1.19005,47,0.647365,1.21579,2078.81,30,0,0.011064,80
COLLIER BROTHERS,Northern Victor,159.034,14,51.4652,0.0880316,1.07626,14,-3.23555,0.333333,0,0,,,,,,,159.034,14,51.4652,0.099763,14
OCEAN HOPE 3,Westward,645.886,55,360.749,0.0851544,0.830261,55,-3.08401,0.333333,462.679,8,0,0.0172906,1.07273,12,0.283584,1.09453,1108.56,63,360.749,0.0462801,67
ELIZABETH F,Peter Pan,865.281,33,0,0.0381379,1.09388,62,-0.524237,0.825254,855.181,4,0,0.00467737,1.16624,25,0.706858,1.23562,1720.46,37,0,0.0180184,87
OCEANIC,Peter Pan,1351.85,39,0,0.0288494,1.11891,99,-0.0187223,0.993759,2135.26,6,0,0.00280996,1.20188,66,0.770781,1.25693,3487.11,45,0,0.0117576,165
MAR-GUN,Mothership,272.288,1,0,0.00367258,1.19093,21,1.34998,1.44999,422.962,0,0,0,1.14802,12,0.863283,1.28776,695.25,1,0,0,33
EXCALIBUR II,Northern Victor,1181.25,46,0,0.0389419,1.00902,78,-0.568349,0.81055,1284.01,9,0,0.00700931,1.18702,39,0.62898,1.20966,2465.26,55,0,0.0198762,117
WALTER N,Peter Pan,1363.24,15,0,0.0110032,1.12197,100,0.953528,1.31784,1927.53,9,0,0.00466918,1.18188,58,0.708117,1.23604,3290.77,24,0,0.00516597,158
TRAVELER,Akutan pollock,103.516,3,0,0.0289809,1.0633,7,-0.025824,0.991392,0,0,,,,,,,103.516,3,0,0.0193206,7
MISS BERDIE,Northern Victor,200.898,7,0,0.0348436,0.88781,11,-0.34449,0.88517,0,0,,,,,,,200.898,7,0,0.029866,11
VANGUARD,Unalaska,315.14,6,0,0.0190391,1.2177,25,0.514667,1.17156,290.97,4,0,0.0137471,1.14763,8,0.402305,1.1341,606.11,10,0,0.00989919,33
PACIFIC CHALLENGER,Peter Pan,533.528,12,0,0.0224918,1.20085,42,0.3271,1.10903,1907.21,654,0,0.34291,0.776342,38,-10.6542,0.333333,2440.73,666,0,0.27082,80
PACIFIC RAM,Akutan pollock,166.092,1,0,0.00602077,0.776125,8,1.22207,1.40736,307.148,0,0,0,1.18258,9,0.863153,1.28772,473.24,1,0,0,17
ALYESKA,Westward,858.067,5,0,0.00582705,1.04378,58,1.23429,1.41143,0,0,,,,,,,858.067,5,0,0.00233082,58
MARK I,Akutan pollock,150.314,3,0,0.0199582,1.00705,9,0.464548,1.15485,0,0,,,,,,,150.314,3,0,0.0133055,9
SUNSET BAY,Northern Victor,379.35,3,0,0.00790827,1.09419,27,1.11996,1.37332,2023.9,55,101.153,0.0271753,0.773593,42,-0.0479455,0.984018,2403.25,58,101.153,0.0227599,69
CAITLIN ANN,Westward,620.419,10,0,0.0161181,1.07746,44,0.673879,1.22463,4878.77,73,0,0.0149628,1.17052,147,0.363704,1.12123,5499.19,83,0,0.0143658,191
MAJESTY,Akutan pollock,0,0,,,,,,,4094.62,79,0,0.0192936,1.15525,121,0.217444,1.07248,4094.62,79,0,0.0158745,121
GOLDEN PISCES,Akutan pollock,0,0,,,,,,,1896.2,17,0,0.00896528,1.2025,58,0.563774,1.18792,1896.2,17,0,0.00632843,58
WESTERN DAWN,Unalaska,0,0,,,,,,,1644.43,29,0,0.0176352,1.15917,49,0.272446,1.09082,1644.43,29,0,0.0158109,49
SEEKER,Akutan pollock,0,0,,,,,,,945.09,71,0,0.0751251,1.06027,25,-1.65661,0.447797,945.09,71,0,0.0708927,25

TOTAL,,250969,6695,917.005,0.0266766,,17128,,,383725,16587,539.056,0.0432263,,9725,,,634694,23282,1456.06,0.0366822,26853
