,,A Season,,,,,,,,,,CARRY-FORWARD,B Season,,,,,,,,,,2006
Vessel Name,Coop,Pollock,Bycatch,Bycatch Rate,Credits,Stop Date,Credits Needed (actual),Unfished Pollock,Credit Value,z-score,q-value,credits (carry-forward),Pollock,Bycatch,Bycatch Rate,Credits,Stop Date,Credits Needed (actual),Unfished Pollock,Credit Value,z-score,q-value,Pollock,Bycatch,Bycatch Rate,Credits,Unfished Pollock
AURIGA,Unisea,8377.68,1399,0.166991,703,Feb-11-2006,681,5018.53,3249.29,-0.815468,0.608144,0,13602.4,463,0.0340382,516,,,0,0,0.416094,1.21213,21980.1,1862,0.0847132,1219,5018.53
STARLITE,Unisea,3186.17,499,0.156614,333,Feb-20-2006,155,1324.36,3767.32,-0.664881,0.668572,0,5807.39,50,0.00860972,249,,,0,0,0.766414,1.3685,8993.56,549,0.0610437,582,1324.36
DEFENDER,Unisea,9752.68,1497,0.153496,944,Feb-24-2006,149,3459.46,10237.2,-0.619634,0.690172,0,14840.6,192,0.0129375,616,,,0,0,0.706791,1.34405,24593.3,1689,0.0686774,1560,3459.46
VIKING EXPLORER,Akutan pollock,3287.39,543,0.165177,298,Feb-20-2006,125,670.516,2365.15,-0.789134,0.619685,0,5778.05,1046,0.18103,199,Sep-24-2006,777,2172.83,739.804,-1.60897,0.404932,9065.43,1589,0.175281,497,2843.35
ALASKA ROSE,Unalaska,4882.24,690,0.141329,469,Feb-21-2006,195,1993.02,4506.47,-0.443064,0.768474,0,6685.4,622,0.0930386,248,Oct-17-2006,278,788.1,749.976,-0.396739,0.792771,11567.6,1312,0.11342,717,2781.12
SEA WOLF,Unalaska,4756.68,673,0.141485,490,Feb-24-2006,132,1604.28,5358.78,-0.445336,0.768474,0,7161.54,514,0.0717722,212,Oct-15-2006,279,679.247,644.072,-0.103758,0.941606,11918.2,1187,0.0995954,702,2283.53
BERING ROSE,Unalaska,4942.5,751,0.151947,473,Feb-24-2006,230,1573.42,3016.31,-0.597157,0.699004,0,7693.81,862,0.112038,234,Sep-30-2006,623,1739.68,738.742,-0.65849,0.672836,12636.3,1613,0.127648,707,3313.1
PACIFIC EXPLORER,Akutan pollock,4258.12,431,0.101218,468,,,0,0,0.138993,1.06896,37,5406.95,446,0.0824865,233,Sep-26-2006,125,866.356,1833.57,-0.251366,0.863243,9665.06,877,0.0907392,701,866.356
NORTHERN PATRIOT,Akutan pollock,6455.62,464,0.0718753,620,,,0,0,0.564804,1.28301,156,11943.1,947,0.0792925,455,Oct-16-2006,288,1335.01,1226.32,-0.207364,0.889112,18398.7,1411,0.07669,1075,1335.01
PACIFIC VIKING,Akutan pollock,2712.29,196,0.0722635,213,,,0,0,0.559171,1.27845,17,4479.35,869,0.194001,143,Sep-22-2006,691,1987.81,761.04,-1.78767,0.382303,7191.65,1065,0.148088,356,1987.81
AMERICAN EAGLE,Northern Victor,3050.12,277,0.090816,313,,,0,0,0.289947,1.14701,36,4467.61,55,0.0123108,191,,,0,0,0.715425,1.3482,7517.73,332,0.0441623,504,0
STARFISH,Unisea,4584.38,385,0.0839807,409,,,0,0,0.389137,1.19737,24,7519.86,104,0.0138301,292,,,0,0,0.694495,1.33987,12104.2,489,0.0403991,701,0
GUN-MAR,Unisea,6688.75,735,0.109886,676,Feb-24-2006,54,1658.79,13544.4,0.0132136,1.00532,0,9942.29,50,0.00502902,434,,,0,0,0.815745,1.38804,16631,785,0.0472009,1110,1658.79
CHELSEA K,Westward,13749.8,2730,0.198549,1237,Feb-9-2006,956,8723.63,4023.46,-1.27341,0.46703,0,19371.4,252,0.0130089,695,,,0,0,0.705808,1.34405,33121.2,2982,0.090033,1932,8723.63
MORNING STAR,Unalaska,4597.83,711,0.154638,366,Feb-11-2006,338,2825.32,3685.62,-0.636204,0.681448,0,8052.88,715,0.0887881,205,Oct-22-2006,421,718.452,451.468,-0.338182,0.822571,12650.7,1426,0.112721,571,3543.77
PROGRESS,Unalaska,2602.25,268,0.102988,245,Mar-17-2006,0,0,0,0.113319,1.05839,0,3973.71,378,0.0951253,142,Oct-15-2006,154,230.568,396.086,-0.425487,0.77813,6575.96,646,0.0982366,387,230.568
NORTHWEST EXPLORER,Akutan pollock,4494.2,384,0.0854435,398,,,0,0,0.367911,1.18744,14,2976.42,465,0.156228,86,Sep-13-2006,365,2246.78,1628.46,-1.26728,0.46939,7470.62,849,0.113645,484,2246.78
SOVEREIGNTY,Akutan pollock,6175.69,832,0.134722,579,Feb-7-2006,247,3579.21,6389.25,-0.34719,0.817559,0,9525.45,735,0.0771617,321,Sep-27-2006,390,1623.87,1101.54,-0.178007,0.904768,15701.1,1567,0.0998017,900,5203.08
ARCTIC EXPLORER,Akutan pollock,3790.25,862,0.227426,360,Feb-9-2006,429,1994.44,2049.86,-1.69246,0.392754,0,5838.11,624,0.106884,225,Sep-27-2006,364,1676.85,1218.72,-0.587482,0.70346,9628.36,1486,0.154336,585,3671.29
ARGOSY,Unisea,4618.49,460,0.0995997,422,Feb-24-2006,18,948.466,23233.2,0.162484,1.08475,0,6511.69,139,0.0213462,211,,,0,0,0.590947,1.29654,11130.2,599,0.0538177,633,948.466
FIERCE ALLEGIANCE,Unisea,5800.03,1069,0.184309,513,Feb-13-2006,499,3687.3,3258.13,-1.06678,0.52308,0,7809.09,75,0.00960419,337,,,0,0,0.752714,1.3645,13609.1,1144,0.0840613,850,3687.3
OCEAN LEADER,Peter Pan,775.743,15,0.0193363,87,,,0,0,1.32722,1.54211,72,280.888,27,0.0961237,12,,,0,0,-0.439242,0.773291,1056.63,42,0.039749,99,0
AMERICAN BEAUTY,Peter Pan,1140.3,69,0.0605106,110,,,0,0,0.729723,1.35232,41,3791.12,406,0.107092,166,Oct-3-2006,198,827.43,1105.55,-0.590353,0.699004,4931.42,475,0.0963211,276,827.43
ALASKAN COMMAND,Westward,10065.8,2677,0.26595,850,Feb-7-2006,1754,7241.56,1820.38,-2.25149,0.349214,0,13718.6,388,0.0282828,484,,,0,0,0.495384,1.25058,23784.4,3065,0.128866,1334,7241.56
COLUMBIA,Akutan pollock,3725.67,615,0.165071,354,Feb-21-2006,201,1103.36,2420.36,-0.787599,0.619685,0,5954.39,695,0.116721,233,Sep-28-2006,427,2333.39,1445.68,-0.722999,0.643593,9680.06,1310,0.13533,587,3436.75
DOMINATOR,Akutan pollock,5098.39,675,0.132395,507,Feb-12-2006,168,2483.26,6517.36,-0.313419,0.832646,0,7936.26,870,0.109623,284,Sep-30-2006,586,1286,580.569,-0.625224,0.685796,13034.7,1545,0.11853,791,3769.25
BRISTOL EXPLORER,Akutan pollock,5890.37,954,0.161959,599,Feb-22-2006,269,3120.99,5115.64,-0.742443,0.635503,0,5059.61,580,0.114633,176,Sep-30-2006,403,1278.64,839.369,-0.694245,0.655952,10950,1534,0.140092,775,4399.63
STORM PETREL,Northern Victor,4022.92,377,0.093713,406,,,0,0,0.247909,1.12645,29,4904.08,145,0.0295672,202,,,0,0,0.477689,1.2411,8927.01,522,0.0584743,608,0
ALYESKA,Westward,1931.57,424,0.219511,214,Feb-7-2006,194,1078.86,2452.01,-1.5776,0.409405,0,0,0,nan,0,Jun-12-2006,0,,,,,1931.57,424,0.219511,214,1078.86
POSEIDON,Northern Victor,3217.07,358,0.111281,294,Mar-17-2006,21,687.573,14436.4,-0.00703433,0.994681,0,4528.43,68,0.0150163,145,,,0,0,0.678153,1.33143,7745.5,426,0.0549997,439,687.573
ANITA J,Northern Victor,2198.21,197,0.0896184,205,,,0,0,0.307327,1.15722,8,4456.15,72,0.0161575,155,,,0,0,0.662431,1.32716,6654.36,269,0.0404246,360,0
OCEAN EXPLORER,Akutan pollock,4196.1,1213,0.289078,412,Feb-7-2006,492,2709.77,2428.44,-2.58712,0.339732,0,9001.05,470,0.0522161,372,Oct-23-2006,77,563.614,1936.43,0.165661,1.08475,13197.2,1683,0.127527,784,3273.39
WALTER N,Peter Pan,1050.4,30,0.0285606,112,,,0,0,1.19336,1.51064,82,1176.47,16,0.0136,51,,,0,0,0.697664,1.33987,2226.87,46,0.0206568,163,0
EXCALIBUR II,Northern Victor,1207.83,188,0.155652,107,Feb-9-2006,14,790.297,24889.8,-0.65091,0.672836,0,821.666,5,0.0060852,36,,,0,0,0.801194,1.38419,2029.49,193,0.0950977,143,790.297
GOLD RUSH,Northern Victor,1055.11,109,0.103307,93,Feb-12-2006,12,447.113,16428.4,0.108689,1.0531,0,966.671,17,0.0175861,42,,,0,0,0.642749,1.31855,2021.78,126,0.0623213,135,447.113
WESTWARD I,Westward,4682.55,800,0.170847,448,Feb-22-2006,348,2685.03,3401.96,-0.871417,0.585906,0,7422.82,115,0.0154928,304,,,0,0,0.671588,1.33143,12105.4,915,0.0755862,752,2685.03
GOLDEN DAWN,Akutan pollock,4745.99,450,0.0948169,419,Mar-7-2006,25,623.858,11002.9,0.231889,1.12127,0,8140.26,707,0.0868522,320,Sep-20-2006,285,2106.36,1955.24,-0.311511,0.832646,12886.3,1157,0.0897856,739,2730.22
OCEANIC,Peter Pan,1539.32,100,0.0649636,151,,,0,0,0.665104,1.32716,51,1621.39,25,0.0154189,72,,,0,0,0.672606,1.33143,3160.71,125,0.039548,223,0
LISA MELINDA,Akutan pollock,343.743,98,0.285097,25,Feb-9-2006,10,235.202,10370.5,-2.52935,0.340938,0,0,0,nan,0,Jun-12-2006,0,,,,,343.743,98,0.285097,25,235.202
LESLIE LEE,Akutan pollock,1218.95,133,0.109111,124,Mar-2-2006,0,0,0,0.0244679,1.01064,0,1135.58,5,0.00440304,50,,,0,0,0.824369,1.39186,2354.53,138,0.0586105,174,0
ELIZABETH F,Peter Pan,904.746,5,0.00552641,82,,,0,0,1.52762,1.58099,77,230.68,9,0.039015,10,,,0,0,0.347529,1.17743,1135.43,14,0.0123302,92,0
TRAVELER,Akutan pollock,108.284,3,0.0277049,10,,,0,0,1.20578,1.51324,7,412.059,4,0.00970734,17,,,0,0,0.751293,1.3645,520.343,7,0.0134527,27,0
VANGUARD,Unalaska,259.669,6,0.0231064,28,,,0,0,1.27251,1.53061,22,908.724,17,0.0187075,38,,,0,0,0.627299,1.30983,1168.39,23,0.0196852,66,0
RAVEN,Akutan pollock,2608.08,71,0.0272231,248,,,0,0,1.21277,1.51581,177,0,0,nan,0,,,,,,,2608.08,71,0.0272231,248,0
PEGASUS,Akutan pollock,2311.92,51,0.0220596,224,,,0,0,1.2877,1.53297,173,0,0,nan,0,,,,,,,2311.92,51,0.0220596,224,0
OCEAN HOPE 3,Westward,885.073,173,0.195464,61,Feb-26-2006,66,638.491,4265.51,-1.22865,0.479131,0,325.417,0,0,13,,,0,0,0.885028,1.41409,1210.49,173,0.142917,74,638.491
PACIFIC RAM,Akutan pollock,217.08,13,0.0598858,22,,,0,0,0.73879,1.35641,9,0,0,nan,0,,,,,,,217.08,13,0.0598858,22,0
MAR-GUN,Mothership,128.082,0,0,14,,,0,0,1.60782,1.5936,14,143.492,0,0,6,,,0,0,0.885028,1.41409,271.573,0,0,20,0
NORDIC FURY,Northern Victor,308.354,7,0.0227012,33,,,0,0,1.27839,1.53061,26,0,0,nan,0,,,,,,,308.354,7,0.0227012,33,0
SEEKER,Akutan pollock,987.177,11,0.0111429,104,,,0,0,1.44612,1.56676,93,1453.31,199,0.136929,52,Oct-4-2006,18,129.535,1903.82,-1.00141,0.541664,2440.48,210,0.0860486,156,129.535
WESTERN DAWN,Unalaska,277.36,26,0.093741,24,Mar-18-2006,0,0,0,0.247502,1.12645,0,1554.69,19,0.0122211,66,,,0,0,0.716661,1.3482,1832.05,45,0.0245627,90,0
MISS BERDIE,Northern Victor,101.242,0,0,9,,,0,0,1.60782,1.5936,9,0,0,nan,0,,,,,,,101.242,0,0,9,0
BLUE FOX,Akutan pollock,307.935,0,0,25,,,0,0,1.60782,1.5936,25,0,0,nan,0,,,,,,,307.935,0,0,25,0
PREDATOR,Akutan pollock,637.89,5,0.00783834,58,,,0,0,1.49407,1.57585,53,0,0,nan,0,,,,,,,637.89,5,0.00783834,58,0
CAITLIN ANN,Westward,316.76,2,0.00631392,32,,,0,0,1.5162,1.5793,30,4270.06,219,0.0512873,183,Oct-24-2006,0,0,0,0.178457,1.08999,4586.82,221,0.0481815,215,0
GOLDEN PISCES,Akutan pollock,0,0,nan,0,Jan-22-2006,0,,,,,0,1186.11,136,0.114661,52,Sep-21-2006,59,212.942,954.816,-0.694623,0.655952,1186.11,136,0.114661,52,212.942
HALF MOON BAY,Northern Victor,0,0,nan,0,Jan-22-2006,0,,,,,0,3165.61,76,0.024008,130,,,0,0,0.554276,1.27845,3165.61,76,0.024008,130,0
SUNSET BAY,Northern Victor,0,0,nan,0,Jan-22-2006,0,,,,,0,1864.95,58,0.0311,70,,,0,0,0.456572,1.23153,1864.95,58,0.0311,70,0
HICKORY WIND,Westward,0,0,nan,0,Jan-22-2006,0,,,,,0,921.707,22,0.0238687,34,,,0,0,0.556195,1.27845,921.707,22,0.0238687,34,0
MAJESTY,Akutan pollock,0,0,nan,0,Jan-22-2006,0,,,,,0,3630.2,211,0.0581235,156,Sep-30-2006,0,0,0,0.0842771,1.04251,3630.2,211,0.0581235,156,0
PACIFIC CHALLENGER,Peter Pan,0,0,nan,0,Jan-22-2006,0,,,,,0,995.02,133,0.133666,26,Sep-13-2006,55,497.62,2393.57,-0.956447,0.558037,995.02,133,0.133666,26,497.62
MARK I,Akutan pollock,0,0,nan,0,Jan-22-2006,0,,,,,0,508.764,237,0.465834,19,Sep-25-2006,186,319.976,455.109,-5.53265,0.333333,508.764,237,0.465834,19,319.976
