,,A Season,,,,,,,B Season,,,,,,,2006
Vessel Name,Coop,Pollock,Bycatch,Credit_Limited_Bycatch,Uncaught Pollock,Bycatch Rate,Credits,z-score,q-value,Pollock,Bycatch,Credit_Limited_Bycatch,Uncaught Pollock,Bycatch Rate,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credits
DOMINATOR,Akutan pollock,5098.39,675,656,3078.89,0.244119,492,-0.713557,0.841432,7936.26,870,397.333,401.562,0.0967524,298,-0.831025,0.815328,13034.7,1545,3480.45,0.11853,790
BRISTOL EXPLORER,Akutan pollock,5890.37,954,765.333,3120.99,0.247347,574,-0.737871,0.836029,5059.61,580,252,737.158,0.094391,189,-0.78673,0.825171,10950,1534,3858.15,0.140092,763
STORM PETREL,Northern Victor,4022.92,377,521.333,0,0.093713,391,0.419234,1.09316,4904.08,145,257.333,0,0.0295672,193,0.429204,1.09538,8927.01,522,0,0.0584743,584
ALYESKA,Westward,1931.57,424,264,1078.86,0.269729,198,-0.906443,0.798568,0,0,0,0,nan,0,,,1931.57,424,1078.86,0.219511,198
POSEIDON,Northern Victor,3217.07,358,398.667,687.573,0.133228,299,0.121624,1.02703,4528.43,68,218.667,0,0.0150163,164,0.702144,1.15603,7745.5,426,687.573,0.0549997,463
ANITA J,Northern Victor,2198.21,197,274.667,0,0.0896184,206,0.450073,1.10002,4456.15,72,209.333,0,0.0161575,157,0.680737,1.15127,6654.36,269,0,0.0404246,363
OCEAN EXPLORER,Akutan pollock,4196.1,1213,537.333,2709.77,0.485087,403,-2.52842,0.333333,9001.05,470,474.667,0,0.0522161,356,0.00436618,1.00097,13197.2,1683,2709.77,0.127527,759
WALTER N,Peter Pan,1050.4,30,138.667,0,0.0285606,104,0.909932,1.20221,1176.47,16,64,0,0.0136,48,0.728709,1.16194,2226.87,46,0,0.0206568,152
EXCALIBUR II,Northern Victor,1207.83,188,146.667,790.297,0.416737,110,-2.01364,0.333333,821.666,5,44,0,0.0060852,33,0.869668,1.19326,2029.49,193,790.297,0.0950977,143
GOLD RUSH,Northern Victor,1055.11,109,129.333,447.113,0.15954,97,-0.0765477,0.982989,966.671,17,52,0,0.0175861,39,0.653939,1.14532,2021.78,126,447.113,0.0623213,136
WESTWARD I,Westward,4682.55,800,592,2685.03,0.22628,444,-0.579199,0.871289,7422.82,115,389.333,361.577,0.00764738,292,0.840366,1.18675,12105.4,915,3046.6,0.0755862,736
GOLDEN DAWN,Akutan pollock,4745.99,450,577.333,307.824,0.0991401,433,0.378359,1.08408,8140.26,707,416,1818.9,0.0817862,312,-0.550295,0.877712,12886.3,1157,2126.73,0.0897856,745
OCEANIC,Peter Pan,1539.32,100,197.333,0,0.0649636,148,0.635761,1.14128,1621.39,25,88,0,0.0154189,66,0.694591,1.15435,3160.71,125,0,0.039548,214
LISA MELINDA,Akutan pollock,343.743,98,34.6667,235.202,0.810752,26,-4.98118,0.333333,0,0,0,0,nan,0,,,343.743,98,235.202,0.285097,26
LESLIE LEE,Akutan pollock,1218.95,133,158.667,160.849,0.116246,119,0.249523,1.05545,1135.58,5,61.3333,0,0.00440304,46,0.901221,1.20027,2354.53,138,160.849,0.0586105,165
ELIZABETH F,Peter Pan,904.746,5,112,123.211,0.00511814,84,1.08649,1.24144,230.68,9,12,0,0.039015,9,0.251986,1.056,1135.43,14,123.211,0.0123302,93
TRAVELER,Akutan pollock,108.284,3,13.3333,0,0.0277049,10,0.916377,1.20364,412.059,4,21.3333,0,0.00970734,16,0.801726,1.17816,520.343,7,0,0.0134527,26
VANGUARD,Unalaska,259.669,6,34.6667,0,0.0231064,26,0.951011,1.21134,908.724,17,48,0,0.0187075,36,0.632904,1.14065,1168.39,23,0,0.0196852,62
RAVEN,Akutan pollock,2608.08,71,329.333,0,0.0272231,247,0.920005,1.20445,0,0,0,0,nan,0,,,2608.08,71,0,0.0272231,247
PEGASUS,Akutan pollock,2311.92,51,294.667,0,0.0220596,221,0.958895,1.21309,0,0,0,0,nan,0,,,2311.92,51,0,0.0220596,221
OCEAN HOPE 3,Westward,885.073,173,88,638.491,0.433933,66,-2.14315,0.333333,325.417,0,16,0,0,12,0.983811,1.21862,1210.49,173,638.491,0.142917,78
PACIFIC RAM,Akutan pollock,217.08,13,26.6667,111.426,0.0851836,20,0.483473,1.10744,0,0,0,0,nan,0,,,217.08,13,111.426,0.0598858,20
MAR-GUN,Mothership,128.082,0,17.3333,0,0,13,1.12504,1.25001,143.492,0,6.66667,0,0,5,0.983811,1.21862,271.573,0,0,0,18
NORDIC FURY,Northern Victor,308.354,7,40,151.886,0.0383464,30,0.83623,1.18583,0,0,0,0,nan,0,,,308.354,7,151.886,0.0227012,30
SEEKER,Akutan pollock,987.177,11,128,0,0.0111429,96,1.04111,1.23136,1453.31,199,72,129.535,0.136731,54,-1.58092,0.602402,2440.48,210,129.535,0.0860486,150
WESTERN DAWN,Unalaska,277.36,26,33.3333,0,0.093741,25,0.419023,1.09312,1554.69,19,82.6667,0,0.0122211,62,0.754574,1.16768,1832.05,45,0,0.0245627,87
MISS BERDIE,Northern Victor,101.242,0,12,0,0,9,1.12504,1.25001,0,0,0,0,nan,0,,,101.242,0,0,0,9
BLUE FOX,Akutan pollock,307.935,0,36,0,0,27,1.12504,1.25001,0,0,0,0,nan,0,,,307.935,0,0,0,27
PREDATOR,Akutan pollock,637.89,5,73.3333,0,0.00783834,55,1.066,1.23689,0,0,0,0,nan,0,,,637.89,5,0,0.00783834,55
CAITLIN ANN,Westward,316.76,2,41.3333,0,0.00631392,31,1.07748,1.23944,4270.06,219,228,0,0.0512873,171,0.0217888,1.00484,4586.82,221,0,0.0481815,202
GOLDEN PISCES,Akutan pollock,0,0,0,0,nan,0,,,1186.11,136,64,319.48,0.0553871,48,-0.0551144,0.987752,1186.11,136,319.48,0.114661,48
HALF MOON BAY,Northern Victor,0,0,0,0,nan,0,,,3165.61,76,166.667,0,0.024008,125,0.53348,1.11855,3165.61,76,0,0.024008,125
SUNSET BAY,Northern Victor,0,0,0,0,nan,0,,,1864.95,58,89.3333,0,0.0311,67,0.400453,1.08899,1864.95,58,0,0.0311,67
HICKORY WIND,Westward,0,0,0,0,nan,0,,,921.707,22,45.3333,0,0.0238687,34,0.536093,1.11913,921.707,22,0,0.0238687,34
MAJESTY,Akutan pollock,0,0,0,0,nan,0,,,3630.2,211,194.667,117.432,0.042132,146,0.19352,1.043,3630.2,211,117.432,0.0581235,146
PACIFIC CHALLENGER,Peter Pan,0,0,0,0,nan,0,,,995.02,133,34.6667,497.62,0.156816,26,-1.95766,0.373004,995.02,133,497.62,0.133666,26
MARK I,Akutan pollock,0,0,0,0,nan,0,,,508.764,237,25.3333,319.976,0.270144,19,-4.08342,0.333333,508.764,237,319.976,0.465834,19

TOTAL,,253117,34603,79279.2,0.136707,23809,,,375832,21179,23893.4,0.0563524,14185,,,628949,55782,0.0886908,37994
