allocation_perc	2003	2004	2005	2006	2007	estimated
2.09156	0.991438979	0.601923521	1.301594759	1.476465312	1.008732964	0.346360673
2.15564	0.730776066	0.509246331	0.971127404	1.088978578	1.059178109	0.342825719
2.22270	1.249524146	1.737046179	2.155549891	0.930191201	1.268360494	0.339240213
2.23603	0.993898951	1.114628551	0.593034363	0.822302425	0.700047809	0.338540712
2.24104	0.833340422	0.749046554	1.073229749	1.820269615	0.946523302	0.338278859
2.48625	1.912159982	0.502239254	1.580339577	1.282101814	1.030961855	0.326165304
2.67373	0.540656513	0.413603211	0.276946557	0.722266364	0.218081777	0.317734029
3.00628	0.720113017	0.476343067	0.305278778	0.685253644	2.004547829	0.304261295
3.46031	0.863657155	1.158927191	1.389960699	1.234718385	1.357464363	0.288359689
3.57321	1.279993707	0.715819428	0.998961631	0.899804485	0.730656657	0.284778071
3.65671	0.854454628	0.798944356	0.778968294	0.88984273	0.593199574	0.282213432
4.01295	1.127584803	0.773157593	0.384043345	0.618868403	0.78859434	0.272001089
5.45688	0.998381296	1.460529537	1.002602665	0.584107758	0.755026699	0.239665682
