Year,ActivityDate,FishTicketN,Vessel,Coop,Season,Pollock,Chinook
2000,2/9/00,G97039788,SOVEREIGNTY,Akutan pollock,A,430.9412231,0
2000,2/9/00,G99001682,MORNING STAR,Unalaska,A,261.0523376,0
2000,2/9/00,G99001683,SEA WOLF,Unalaska,A,314.5632019,0
2000,2/9/00,G99004355,COMMODORE,Northern Victor,A,199.5908508,26
2000,2/9/00,G99004672,ALSEA,Unisea,A,336.5828857,0
2000,2/9/00,G99004673,DEFENDER,Unisea,A,687.8934937,1
2000,2/9/00,G99015060,PACIFIC PRINCE,Westward,A,435.9648132,0
2000,2/9/00,G99015062,PACIFIC KNIGHT,Westward,A,415.6386719,1
2000,2/9/00,G99015067,ALYESKA,Westward,A,217.6898346,0
2000,2/10/00,G97039791,GOLDEN DAWN,Akutan pollock,A,298.9499207,0
2000,2/10/00,G97039796,NORTHERN PATRIOT,Akutan pollock,A,441.9241638,0
2000,2/10/00,G98032776,PACIFIC EXPLORER,Akutan pollock,A,285.98703,1
2000,2/10/00,G99001684,DESTINATION,Unalaska,A,495.431366,0
2000,2/10/00,G99004356,ROYAL ATLANTIC,Northern Victor,A,221.2206268,0
2000,2/10/00,G99004674,STARFISH,Unisea,A,275.0253906,0
2000,2/10/00,G99004675,AURIGA,Unisea,A,508.8994141,0
2000,2/10/00,G99015066,FIERCE ALLEGIANCE,Unisea,A,360.0263062,0
2000,2/10/00,G99015070,WESTWARD I,Westward,A,282.1250916,0
2000,2/11/00,G97039798,PACIFIC VIKING,Akutan pollock,A,221.8030548,0
2000,2/11/00,G97039799,NORDIC EXPLORER,Akutan pollock,A,173.6764069,0
2000,2/11/00,G97039800,DONA MARTITA,Westward,A,454.3781128,0
2000,2/11/00,G97039802,INTREPID EXPLORER,Arctic Ent,A,164.3803864,0
2000,2/11/00,G97039804,ROYAL AMERICAN,Akutan pollock,A,172.434906,3
2000,2/11/00,G97039805,ALDEBARAN,Akutan pollock,A,192.8395233,0
2000,2/11/00,G97039808,SOVEREIGNTY,Akutan pollock,A,486.3716736,4
2000,2/11/00,G98032777,OCEAN EXPLORER,Akutan pollock,A,298.1996765,0
2000,2/11/00,G99001685,BERING ROSE,Unalaska,A,348.6088257,0
2000,2/11/00,G99001686,ALASKA ROSE,Unalaska,A,350.3787537,0
2000,2/11/00,G99001687,PROGRESS,Unalaska,A,199.3917236,0
2000,2/11/00,G99004357,POSEIDON,Northern Victor,A,228.3724976,2
2000,2/11/00,G99004676,AURORA,Unisea,A,544.5022583,0
2000,2/11/00,G99004677,ALSEA,Unisea,A,310.833313,0
2000,2/11/00,G99004678,ARGOSY,Unisea,A,333.3979492,5
2000,2/11/00,G99015075,CHELSEA K,Westward,A,828.4142456,0
2000,2/12/00,G97039812,ARCTURUS,Akutan pollock,A,228.3829193,6
2000,2/12/00,G97039813,PEGASUS,Akutan pollock,A,138.0613251,0
2000,2/12/00,G97039814,COLUMBIA,Akutan pollock,A,219.5668182,2
2000,2/12/00,G97039815,RAVEN,Akutan pollock,A,126.5336151,1
2000,2/12/00,G98032778,ARCTIC EXPLORER,Akutan pollock,A,293.3284912,7
2000,2/12/00,G99001688,MORNING STAR,Unalaska,A,312.3750305,0
2000,2/12/00,G99001689,SEA WOLF,Unalaska,A,306.6215973,0
2000,2/12/00,G99004360,STORM PETREL,Northern Victor,A,224.3862762,3
2000,2/12/00,G99004679,SEADAWN,Unisea,A,305.890686,7
2000,2/12/00,G99004680,DEFENDER,Unisea,A,695.2154541,4
2000,2/12/00,G99004681,STARFISH,Unisea,A,264.0561218,0
2000,2/12/00,G99015076,VIKING,Westward,A,349.4584208,0
2000,2/13/00,G97039817,GOLDEN DAWN,Akutan pollock,A,276.8438721,20
2000,2/13/00,G97039821,DOMINATOR,Akutan pollock,A,287.6612549,17
2000,2/13/00,G97039823,NORTHERN PATRIOT,Akutan pollock,A,466.3558044,32
2000,2/13/00,G98032779,BRISTOL EXPLORER,Akutan pollock,A,313.3783875,5
2000,2/13/00,G99001690,GREAT PACIFIC,Unalaska,A,199.3291321,0
2000,2/13/00,G99004359,COMMODORE,Northern Victor,A,224.1617584,5
2000,2/13/00,G99004361,ROYAL ATLANTIC,Northern Victor,A,228.9091034,3
2000,2/13/00,G99004682,ARCTIC WIND,Westward,A,208.7946014,0
2000,2/13/00,G99004683,ALSEA,Unisea,A,330.0494995,3
2000,2/13/00,G99015082,PACIFIC PRINCE,Westward,A,444.1985168,2.00000006
2000,2/13/00,G99015083,PACIFIC KNIGHT,Westward,A,417.112854,6
2000,2/14/00,G97039825,DONA MARTITA,Westward,A,391.6025467,12
2000,2/14/00,G97039827,GLADIATOR,Akutan pollock,A,295.3733215,1
2000,2/14/00,G97039830,NORDIC EXPLORER,Akutan pollock,A,187.4199371,0
2000,2/14/00,G97039831,INTREPID EXPLORER,Arctic Ent,A,160.9561768,0
2000,2/14/00,G97039832,VIKING EXPLORER,Akutan pollock,A,219.2111969,0
2000,2/14/00,G97039835,ROYAL AMERICAN,Akutan pollock,A,148.4151306,2
2000,2/14/00,G98032780,PACIFIC EXPLORER,Akutan pollock,A,322.7941589,0
2000,2/14/00,G99001691,DESTINATION,Unalaska,A,503.6333122,0
2000,2/14/00,G99004684,AURIGA,Unisea,A,527.0575867,0.99999997
2000,2/14/00,G99004685,AURORA,Unisea,A,478.2777724,0
2000,2/14/00,G99004687,SEADAWN,Unisea,A,294.7805405,4.999999881
2000,2/14/00,G99005719,ALDEBARAN,Akutan pollock,A,224.8843384,2
2000,2/14/00,G99015089,FIERCE ALLEGIANCE,Unisea,A,302.5015831,2.99999994
2000,2/14/00,G99015090,CAITLIN ANN,Westward,A,277.0733948,9
2000,2/15/00,G97039837,SOVEREIGNTY,Akutan pollock,A,448.6519165,1
2000,2/15/00,G97039843,RAVEN,Akutan pollock,A,133.6868439,1
2000,2/15/00,G97039844,PEGASUS,Akutan pollock,A,132.9098206,1
2000,2/15/00,G97039846,ARCTURUS,Akutan pollock,A,226.4506073,1
2000,2/15/00,G98032782,OCEAN EXPLORER,Akutan pollock,A,314.2656174,0
2000,2/15/00,G99001692,BERING ROSE,Unalaska,A,341.065033,0
2000,2/15/00,G99001693,ALASKA ROSE,Unalaska,A,316.5408707,0
2000,2/15/00,G99001694,PROGRESS,Unalaska,A,187.4430752,0
2000,2/15/00,G99004363,POSEIDON,Northern Victor,A,229.7859039,0
2000,2/15/00,G99004364,STORM PETREL,Northern Victor,A,228.0513382,0
2000,2/15/00,G99004686,ARGOSY,Unisea,A,334.9637756,7
2000,2/15/00,G99004688,DEFENDER,Unisea,A,681.026001,3
2000,2/15/00,G99005737,PACIFIC VIKING,Akutan pollock,A,212.2756958,0
2000,2/15/00,G99015093,CHELSEA K,Westward,A,790.1700745,0
2000,2/16/00,G97039849,COLUMBIA,Akutan pollock,A,232.7696686,0
2000,2/16/00,G97039850,GOLDEN DAWN,Akutan pollock,A,315.5715332,1
2000,2/16/00,G98032252,NORTHERN PATRIOT,Akutan pollock,A,477.492981,4
